Extracted_State,Search_City,Station_Name,Address,Raw_Details
Unknown State,Delhi,1,.,"1 | . | Kartavya Path | Kartavya Path, Delhi, 110004 | (Unknown Operator) | Connectors: | Unknown | Directions"
Unknown State,Delhi,2,.,"2 | . | Le Méridien | Raisina Road, Connaught Place, New Delhi, Delhi, 110001 | Chargezone (India) | Fast DC | up to | 30 | kW | 2 | points | Connectors: | CCS (Type 2) | Directions"
Unknown State,Delhi,3,.,"3 | . | EESL Charging Station | Prithviraj Market, Rabindra Nagar, Delhi, 110003 | EESL (IN) | up to | 22 | kW | Connectors: | Type 2 (Tethered Connector) | Directions"
Unknown State,Delhi,4,.,"4 | . | EESL Charging Station | J6JC+MR8, N Block, Middle Cir, Block N, Connaught Place, Delhi, 110001 | EESL (IN) | up to | 15 | kW | Connectors: | Type 2 (Tethered Connector) | Directions"
Unknown State,Delhi,5,.,"5 | . | EESL Charging Station | J6M9+H27, opposite Iqbal Brothers Tailoring Shop, , Block G, Connaught Place, Delhi, 110001 | EESL (IN) | up to | 15 | kW | Connectors: | Type 2 (Tethered Connector) | Directions"
Unknown State,Delhi,6,.,"6 | . | Near Snow White | Block D, Connaught Place, Delhi, Delhi, 110001 | (Unknown Operator) | up to | 15 | kW | Connectors: | Type 2 (Tethered Connector) | Directions"
Unknown State,Delhi,7,.,"7 | . | EESL Charging Station | H-1, Middle Cir, Block H, Connaught Place, Delhi, 110001 | EESL (IN) | up to | 15 | kW | Connectors: | Type 2 (Tethered Connector) | Directions"
Unknown State,Delhi,8,.,"8 | . | EESL Charging Station | NMDC Parking, Dharma Marg, Block Y, Diplomatic Enclave, Malcha Market, Delhi, 110021 | EESL (IN) | up to | 15 | kW | Connectors: | Type 2 (Tethered Connector) | Directions"
Unknown State,Delhi,9,.,"9 | . | EESL Charging Station | NDMC Parking, Outside Devinder Collections, 11, Shankar Market, Connaught Place, New Delhi, Delhi , 110001 | up to | 15 | kW | Connectors: | Type 2 (Tethered Connector) | Directions"
Unknown State,Delhi,10,.,"10 | . | EESL Charging Station | NDMC Parking, Outside Devinder Collections, 11, Shankar Market, Connaught Lane, Delhi , 110001 | EESL (IN) | up to | 15 | kW | Connectors: | Type 2 (Tethered Connector) | Directions"
Unknown State,Delhi,11,.,"11 | . | EESL - Devinder Collections | EESL Charging Station Outside Devinder Collections,,  Shankar Market, Connaught Place, New Delhi``, New Dehi, 110001 | EESL (IN) | up to | 15 | kW | Connectors: | Type 2 (Tethered Connector) | Cost: | 12.0 | Directions"
Unknown State,Delhi,12,.,"12 | . | EESL Charging Station | 9, Lodi Colony, New Delhi, Delhi 110003, India, Located in Palika Maternity Hospital, Delhi, 110003 | EESL (IN) | up to | 15 | kW | Connectors: | Type 2 (Tethered Connector) | Directions"
Unknown State,Delhi,13,.,"13 | . | ITC Maurya | Sardar Patel Marg, Akhaura Block, Diplomatic Enclave, Chanakyapuri, Delhi, 110021 | Sunfuel Electric (IN) | up to | 7 | kW | 2 | points | Connectors: | Type 2 (Tethered Connector) | Directions"
Unknown State,Delhi,14,.,"14 | . | A-359, Varun Marg, Market, near Gol Gumbad | Block A, Defence Colony, Delhi, 110024 | Statiq (IN) | Fast DC | up to | 60 | kW | 2 | points | Connectors: | CCS (Type 2) | Directions"
Unknown State,Delhi,15,.,"15 | . | Chandni Chowk | Chandni Chowk, Delhi, Delhi, 110006 | (Unknown Operator) | up to | 3 | kW | Connectors: | Type M · Unknown | Directions"
Unknown State,Delhi,16,.,"16 | . | Moolchand Metro Station | Vikram Vihar, Lajpat Nagar IV, Delhi, 110048 | Statiq (IN) | Fast DC | up to | 60 | kW | 4 | points | Connectors: | CCS (Type 2) | Directions"
Unknown State,Delhi,17,.,"17 | . | Hauz Khas Metro Station Parking Area | Sri Krishna Chaitanya Mahaprabhu Marg, lock F, Police Colony, Hauz Khas, Delhi, Delhi, 110016 | (Unknown Operator) | Fast DC | up to | 30 | kW | 2 | points | Connectors: | CCS (Type 2) | Directions"
Unknown State,Delhi,18,.,"18 | . | Statiq Charging Station | Indian Institute of Technology Delhi, Hauz Khas, G5VP+VFJ, New Delhi, Delhi, 110016 | Statiq (IN) | Fast DC | up to | 60 | kW | 2 | points | Connectors: | CCS (Type 2) | Directions"
Unknown State,Delhi,19,.,"19 | . | Statiq Charging Station | Hotel, The Suryaa, New Friends Colony, New Delhi, Delhi , 110025 | Statiq (IN) | Fast DC | up to | 60 | kW | 2 | points | Connectors: | CCS (Type 2) | Directions"
Unknown State,Delhi,20,.,"20 | . | GTB Nagar Metro Station Parking | 65, Ring Rd, Tagore Park Extension, GTB Nagar, Delhi, 110009 | JIO BP Pulse (India) | Fast DC | up to | 60 | kW | 4 | points | Connectors: | CCS (Type 2) | Cost: | 20.99 | Directions"
Unknown State,Delhi,21,.,"21 | . | TERRA CHARGE BSES | IP EXTENSION, NEAR INDIAN OIL PUMP, Delhi, Delhi, 110092 | Connectors: | Type 2 (Socket Only) | Directions"
Unknown State,Delhi,22,.,"22 | . | RashMishi DLF South Court | South Court Mall, Saket District Centre, Sector 6, Pushp Vihar, NewDelhi, Delhi, 110017 | (Unknown Operator) | Fast DC | up to | 60 | kW | 2 | points | Connectors: | CCS (Type 2) | Cost: | 22perkwh | Directions"
Unknown State,Delhi,23,.,"23 | . | Terra Charge | I.P.Extension, Patparganj, Delhi, Delhi, 110092 | (Unknown Operator) | Connectors: | Type 2 (Tethered Connector) | Directions"
Unknown State,Delhi,24,.,"24 | . | Azadpur Metro Station | Ground Floor, near Metro Car Parking, Delhi, Delhi, 110052 | JIO BP Pulse (India) | Fast DC | up to | 60 | kW | 4 | points | Connectors: | CCS (Type 2) | Cost: | 20.99 | Directions"
Unknown State,Delhi,25,.,"25 | . | Hotel Pullman | IGI Road, Aerocity, New Delhi, Delhi, 110037 | Chargezone (India) | Fast DC | up to | 30 | kW | 2 | points | Connectors: | CCS (Type 2) | Directions"
Unknown State,Delhi,26,.,"26 | . | Aloft | 5B IGI T3 Road, Aerocity, Delhi, Delhi, 110037 | Chargezone (India) | Fast DC | up to | 30 | kW | 2 | points | Connectors: | CCS (Type 2) | Directions"
Unknown State,Delhi,27,.,"27 | . | JW Marriott - Aerocity | Asset Area 4 - Hospitality District, Aerocity, Delhi, Delhi, 110037 | Chargezone (India) | Fast DC | up to | 30 | kW | 2 | points | Connectors: | CCS (Type 2) | Directions"
Unknown State,Delhi,28,.,"28 | . | Savoy Suites Noida | A-44A, Near McDonald's, A Block, Sector 16, Noida, Uttar Pradesh, 201301 | (Unknown Operator) | Fast DC | up to | 22 | kW | 2 | points | Connectors: | CCS (Type 2) | Directions"
Unknown State,Delhi,29,.,"29 | . | Berger Tower Charging Station | DND Flyover, Sector 16B, Noida, Uttar Pradesh, 201301 | Statiq (IN) | Fast DC | up to | 120 | kW | 2 | points | Connectors: | CCS (Type 2) | Directions"
Unknown State,Delhi,30,.,"30 | . | IOCL Citi Fuels | Lal Sain Mandir Marg, Block VB, Virender Nagar, Janakpuri, New Delhi, Delhi, 110058 | Tata Power | Fast DC | up to | 25 | kW | Connectors: | CCS (Type 2) | Directions"
Unknown State,Delhi,31,.,"31 | . | Qutab Minar Metro Station | Anuvrat Marg, Mittal Garden, Sainik Farm, Delhi , 110016 | up to | 7 | kW | 4 | points | Connectors: | Type 2 (Tethered Connector) | Directions"
Unknown State,Delhi,32,.,"32 | . | Statiq Charging Station | Qutab Minar Metro Station, G57P+7C, Delhi, 110016 | Statiq (IN) | Fast DC | up to | 60 | kW | Connectors: | CCS (Type 2) | Directions"
Unknown State,Delhi,33,.,"33 | . | Radisson Blu Plaza Delhi Airport | NH 8, near Mahipalpur Extension, Block R, Mahipalpur Village, New Delhi, Delhi, 110037 | (Unknown Operator) | up to | 22 | kW | 2 | points | Connectors: | Type 2 (Tethered Connector) | Directions"
Unknown State,Delhi,34,.,"34 | . | Mercedes Benz Silver Arrows, Noida | D7, Dallupura Rd, Opp. Sahara India Financial Corporation, Rajat Vihar, D Block, Sector 8, Noida, Uttar Pradesh, 201301 | Chargezone (India) | Fast DC | up to | 90 | kW | 2 | points | Connectors: | CCS (Type 2) | Directions"
Unknown State,Delhi,35,.,"35 | . | MLCP Zone3 Captive Charging Station | MLCP Parking, Sector 18, Noida, Uttar Pradesh, 201301 | (Unknown Operator) | Fast DC | up to | 120 | kW | 2 | points | Connectors: | CCS (Type 2) | Directions"
Unknown State,Delhi,36,.,"36 | . | DLF Mall Of India | Plot M-03, Sector 18, Noida, Uttar Pradesh, 201301 | (Unknown Operator) | Fast DC | up to | 60 | kW | 2 | points | Connectors: | CCS (Type 2) | Directions"
Unknown State,Delhi,37,.,"37 | . | Wave One | L-2A, Pocket G, Sector 18, Noida, Uttar Pradesh, 201301 | (Unknown Operator) | 5 | points | Connectors: | Type 2 (Socket Only) | Directions"
Unknown State,Delhi,38,.,"38 | . | Statiq Charging Station | MCD Parking, near Metro Station Mohan Estate, Block B, Mohan Cooperative Industrial Estate, Badarpur, New Delhi, Delhi, 110044 | Statiq (IN) | Fast DC | up to | 60 | kW | 2 | points | Connectors: | CCS (Type 2) | Directions"
Unknown State,Delhi,39,.,"39 | . | Windsor IT Park | Sector Rd, Sector 125, Noida, Uttar Pradesh, 201313 | (Unknown Operator) | Fast DC | up to | 60 | kW | 3 | points | Connectors: | CCS (Type 2) | Directions"
Unknown State,Delhi,40,.,"40 | . | EESL Charging Station | Near RTO Office, Sector 33A, Noida, Uttar Pradesh, 201301 | EESL (IN) | up to | 22 | kW | Connectors: | Type 2 (Tethered Connector) | Directions"
Unknown State,Delhi,41,.,"41 | . | Powerbank Ghitorni Metro Station Parking Area | Mehrauli-Gurgaon Rd, Gadaipur, Sultanpur, Delhi , 110030 | Fast DC | up to | 25 | kW | Connectors: | CCS (Type 2) | Directions"
Unknown State,Delhi,42,.,"42 | . | Windsor Grand DC Charger | Near BMS Office, Plot number 1 C, Noida, Uttar Pradesh, 201313 | (Unknown Operator) | Fast DC | up to | 120 | kW | 2 | points | Connectors: | CCS (Type 2) | Directions"
Unknown State,Delhi,43,.,"43 | . | Gali Number 9 | Gali Number 9, Civil Lines Tehsil, Delhi, Burari, 110084 | (Unknown Operator) | Fast DC | up to | 60 | kW | Connectors: | Unknown | Directions"
Unknown State,Delhi,44,.,"44 | . | Gulf Adiba | Plot No. 272, Phase II, Udyog Vihar, Sector 20, Gurugram, Haryana, 122008 | (Unknown Operator) | Fast DC | up to | 30 | kW | Connectors: | CCS (Type 2) | Directions"
Unknown State,Delhi,45,.,"45 | . | FBD ONE CORPORATION PARK | Block G, Molar band Extension, Faridabad, Haryana , 121003 | JIO BP Pulse (India) | Fast DC | up to | 30 | kW | 10 | points | Connectors: | CCS (Type 2) | Directions"
Unknown State,Delhi,46,.,"46 | . | Statiq Charging Station | F3XV+25H, DLF Cyber City,  DLF Phase 2, Sector 24, Gurugram, Haryana , 122010 | Statiq (IN) | Fast DC | up to | 60 | kW | Connectors: | CCS (Type 2) | Directions"
Unknown State,Delhi,47,.,"47 | . | Le Meridien | Sunset Boulevard, Sector 26, Gurgaon, Haryana, 122002 | Chargezone (India) | Fast DC | up to | 30 | kW | 2 | points | Connectors: | CCS (Type 2) | Directions"
Unknown State,Delhi,48,.,"48 | . | Sarhol Charging Hub | K39, Near Sun Pharma, Sector 18, Sarhol, Haryana , 122001 | Chargezone (India) | Fast DC | up to | 30 | kW | 6 | points | Connectors: | CCS (Type 2) | Directions"
Unknown State,Delhi,49,.,"49 | . | Statiq Charging Station | 13/6, Mathura Rd, near Main Entry Gate, Ekta, Ekta Nagar, Faridabad, Haryana , 121003 | Statiq (IN) | Fast DC | up to | 60 | kW | 2 | points | Connectors: | CCS (Type 2) | Directions"
Unknown State,Delhi-Ncr,50,.,"50 | . | Hotel Westinn | 1, MG Road, Sector 29, IFFCO Chowk, Gurgaon, Haryana, 122002 | Chargezone (India) | Fast DC | up to | 30 | kW | 2 | points | Connectors: | CCS (Type 2) | Directions"
Unknown State,Delhi-Ncr,51,.,"51 | . | Galleria Charging Station | Front of Nathu's, Galleria Market, Sector 28, DLF Phase IV, Gurugram, Haryana, 122022 | Statiq (IN) | Fast DC | up to | 120 | kW | 2 | points | Connectors: | CCS (Type 2) | Directions"
Unknown State,Delhi-Ncr,52,.,"52 | . | Courtyard by Marriott | Sushant Lok, Phase 1, Sector 27, Gurgaon, Haryana, 122002 | Chargezone (India) | Fast DC | up to | 30 | kW | 2 | points | Connectors: | CCS (Type 2) | Directions"
Unknown State,Delhi-Ncr,53,.,"53 | . | Bikanervala Sec-29 Charging Station | 7, near Bikanervala, Sector 29, Gurugram, Haryana , 122001 | Statiq (IN) | Fast DC | up to | 120 | kW | 2 | points | Connectors: | CCS (Type 2) | Directions"
Unknown State,Delhi-Ncr,54,.,"54 | . | Crowne Plaza Gurgaon | Crowne Plaza Gurgaon Site No 2, Sector 29,Opposite Signature Tower, Gurgaon, Haryana, 122007 | Sunfuel Electric (IN) | up to | 7 | kW | Connectors: | Type 2 (Tethered Connector) | Directions"
Unknown State,Delhi-Ncr,55,.,"55 | . | JMD Pacific Square Charging Station | Ground Level Parking, 95A PartII, Chander Nagar, Sector 15, Chander Nagar, Gurugram, Haryana, 122022 | Statiq (IN) | Fast DC | up to | 120 | kW | Connectors: | CCS (Type 2) · GB-T DC - GB/T 20234.3 | Directions"
Unknown State,Delhi-Ncr,56,.,"56 | . | Advant IT Park | Plot no.7, Sector 142, Noida, Uttar Pradesh, 201305 | (Unknown Operator) | Fast DC | up to | 60 | kW | Connectors: | CCS (Type 2) | Directions"
Unknown State,Delhi-Ncr,57,.,"57 | . | Mahalaxmi EV Charging STATION | Shop No 1 Heritage One , Jalpura , Gautaum Buddha Nagar , uttar pradesh , 201306 | (Unknown Operator) | up to | 9 | kW | 3 | points | Connectors: | Unknown · CCS (Type 2) | Cost: | 12 | Directions"
Unknown State,Delhi-Ncr,58,.,"58 | . | Courtyard by Marriott Aravali Resort | 1 Village Pakhal, Faridabad, Haryana , 121001 | Chargezone (India) | Fast DC | up to | 30 | kW | 2 | points | Connectors: | CCS (Type 2) | Directions"
Unknown State,Delhi-Ncr,59,.,"59 | . | TML Autovikas | 170, Mathura Rd, Pocket 1, Sector 5, Faridabad, Haryana , 121001 | Tata Power | Fast DC | up to | 30 | kW | Connectors: | CCS (Type 2) | Directions"
Unknown State,Delhi-Ncr,60,.,"60 | . | Knowledge park | NIET, Greater Noida, Uttar Pradesh | (Unknown Operator) | up to | 2.5 | kW | Connectors: | Type M | Directions"
Unknown State,Delhi-Ncr,61,.,"61 | . | Omaxe Connaught Place Mall | Block H, Beta II, Greater Noida, Uttar Pradesh, 201308 | JIO BP Pulse (India) | up to | 7 | kW | Connectors: | CCS (Type 2) | Directions"
Unknown State,Delhi-Ncr,62,.,"62 | . | Savoy Suites Charging Station | Greater Noida , Noida, Uttar Pradesh, 201310 | Statiq (IN) | Fast DC | up to | 120 | kW | 2 | points | Connectors: | CCS (Type 2) | Directions"
Unknown State,Delhi-Ncr,63,.,"63 | . | Mansavi SuperCharge Point | A 14, B Block , Golf Links 1, Sec Omega 1, Greater Noida, G B Nagar, Uttar Pradesh, 201310 | (Unknown Operator) | Fast DC | up to | 30 | kW | Connectors: | CCS (Type 2) | Cost: | 20 Rs/unit + GST | Directions"
Unknown State,Delhi-Ncr,64,.,"64 | . | Omaxe India Trade Centre | Block I, Sector Alpha II, Commercial Belt, Greater Noida, Noida, Uttar Pradesh, 201308 | JIO BP Pulse (India) | Fast DC | up to | 60 | kW | Connectors: | CCS (Type 2) | Directions"
Unknown State,Delhi-Ncr,65,.,"65 | . | Golden Galaxy Hotels & Resorts | 77QW+36J Golden Galaxy Hotels & Resorts, Kail Gaon, Haryana , 121004 | Fast DC | up to | 50 | kW | Connectors: | CCS (Type 2) | Directions"
Unknown State,Delhi-Ncr,66,.,"66 | . | The Westin Sohna Resort and Spa | Vatika Complex PO Dhaula, Karanki, Road, Sohna, Haryana , 122103 | Chargezone (India) | Fast DC | up to | 30 | kW | 2 | points | Connectors: | CCS (Type 2) | Directions"
Unknown State,Delhi-Ncr,67,.,"67 | . | Bikanerwala | 55th Mile Stone, NH 48, Kukrola, Panchgaon, Gurugram, Haryana , 122001 | Tata Power | Fast DC | up to | 30 | kW | Connectors: | CCS (Type 2) | Directions"
Unknown State,Bengaluru,68,.,"68 | . | Forum South Bengaluru | Konanakunte Cross Metro Statio, Kanakapura Road, Anjanadri Layout, Konanakunte, Bengaluru, Karnataka, 560062 | Statiq (IN) | Fast DC | up to | 60 | kW | Connectors: | Type 2 (Tethered Connector)  · CCS (Type 2) | Cost: | 14.99/kWh | Directions"
Unknown State,Bengaluru,69,.,"69 | . | BESCOM Rajarajeshwari Nagar | 638, Kenchenahalli Main Road, Ideal Homes Township, , Bengaluru, Karnataka, 560098 | (Unknown Operator) | Fast DC | up to | 50 | kW | Connectors: | CCS (Type 2) | Cost: | 6.15/kWh | Directions"
Unknown State,Bengaluru,70,.,"70 | . | Shell Recharge Thanisandra | Thanisandra Main Road, Hobli, Ashwath Nagar, KR Puram, Bengaluru, Karnataka, 560077 | Shell Recharge (IN) | Fast DC | up to | 120 | kW | Connectors: | CCS (Type 2) · IEC 60309 3-pin | Cost: | 23/kWh | Directions"
Unknown State,Bengaluru,71,.,"71 | . | Shell Recharge Haralur | Plot No.6, Sy No.27/2, Haralur Road, Ambalipura Village, Varthur Hobli, Bengaluru, Karnataka, 560102 | Shell Recharge (IN) | Fast DC | up to | 120 | kW | Connectors: | CCS (Type 2) | Cost: | 23/kWh | Directions"
Unknown State,Bengaluru,72,.,"72 | . | Prerana Motors, Hongasandra | No 55 Kudlugate, Hosur Road, next to Ozone Tech Park, Kudlu Gate, Garebhavipalya, Hongasandra, Bengaluru, Karnataka, 560068 | Tata Power | Fast DC | up to | 25 | kW | Connectors: | CCS (Type 2) · CHAdeMO | Cost: | 21/kWh | Directions"
Unknown State,Bengaluru,73,.,"73 | . | MG Motor B Narayanapura | 1, Outer Ring Road, Kamadhenu Nagar, B Narayanapura, Dooravani Nagar, Bengaluru, Karnataka, 560016 | Statiq (IN) | Fast DC | up to | 50 | kW | Connectors: | CCS (Type 2) | Cost: | 14.99/kWh | Directions"
Unknown State,Bengaluru,74,.,"74 | . | Jio BP Pulse | Miraj Cinemas, Magadi Main Rd, above D-Mart, Vishwaneedam, Post, Sunkadakatte, Bengaluru, Karnataka 560091, Bengaluru, Karnataka, 560091 | JIO BP Pulse (India) | Fast DC | up to | 60 | kW | 2 | points | Connectors: | CCS (Type 2) | Cost: | 20/kWh | Directions"
Unknown State,Bengaluru,75,.,"75 | . | Pratham Motors | 58/5, Kudlu Road, next to Zee School, HSR Extension, VGP Layout, Somasundarapalya, Bengaluru, Karnataka, 560068 | JIO BP Pulse (India) | Fast DC | up to | 60 | kW | Connectors: | CCS (Type 2) | Cost: | 20/kWh | Directions"
Unknown State,Bengaluru,76,.,"76 | . | Royal Meenakshi Mall | Bannerghatta Road, Hulimavu, Bengaluru, Karnataka , 560076 | Statiq (IN) | Fast DC | up to | 60 | kW | Connectors: | CCS (Type 2) | Cost: | 14.99/kWh | Directions"
Unknown State,Bengaluru,77,.,"77 | . | Courtyard by Marriott | Marathahalli - Sarjapur Outer Ring Road, Bellandur, Bengaluru, Karnataka, 560103 | Chargezone (India) | Fast DC | up to | 60 | kW | Connectors: | CCS (Type 2) | Cost: | 21/kWh | Directions"
Unknown State,Bengaluru,78,.,"78 | . | Novotel Bengaluru Outer Ring Road | ECOSPACE BUSINESS PARK, Sarjapur - Marathahalli Rd, opp. Rmz, Kariyammana Agrahara, Bellandur, Bengaluru, Karnataka, 5700103 | Zeon Charging | up to | 22 | kW | Connectors: | Type 2 (Tethered Connector) | Cost: | 16.5/kWh | Directions"
Unknown State,Bengaluru,79,.,"79 | . | Shell Recharge TC Palya | 136 Thambu Chetty Palya Main Road, Kowdenahalli Main Rd, Bengaluru, Karnataka, 560016 | Shell Recharge (IN) | Fast DC | up to | 120 | kW | Connectors: | CCS (Type 2) · IEC 60309 3-pin | Cost: | 23/kWh | Directions"
Unknown State,Bengaluru,80,.,"80 | . | MobiLane Ecospace | Outer Ring Rd, Adarsh Palm Retreat, Bellandur, Bengaluru, Karnataka 560103, Bengaluru, Karnataka | (Unknown Operator) | Connectors: | Unknown | Directions"
Unknown State,Bengaluru,81,.,"81 | . | Exora Business Park | Exora Business Park, Kadubeesanahalli, Bengaluru, Karnataka , 560103 | (Unknown Operator) | Fast DC | up to | 60 | kW | Connectors: | CCS (Type 2) | Cost: | 26/kWh | Directions"
Unknown State,Bengaluru,82,.,"82 | . | Shell Recharge Prestige Tech Park | Prestige Tech Park Kadubeesanahalli Bridge, Kadubeesanahalli, Bengaluru, Karnataka, 560037 | Shell Recharge (IN) | Fast DC | up to | 30 | kW | Connectors: | CCS (Type 2) · IEC 60309 3-pin | Cost: | 23/kWh | Directions"
Unknown State,Bengaluru,83,.,"83 | . | Hosa Road | Hosa Road,  Chikkanayakanahalli, Karnataka, 560035 | (Unknown Operator) | up to | 3.3 | kW | Connectors: | Type 2 (Tethered Connector) | Directions"
Unknown State,Bengaluru,84,.,"84 | . | The Bay at Ecoworld | Building No.6, RMZ Ecoworld Road, Adarsh Palm Retreat, Bellandur, Bengaluru, Karnataka, 560103 | (Unknown Operator) | Fast DC | up to | 80 | kW | Connectors: | CCS (Type 2) | Directions"
Unknown State,Bengaluru,85,.,"85 | . | RMZ EcoWorld | Bellandur, Bengaluru, Karnataka, 5600103 | Zeon Charging | Fast DC | up to | 50 | kW | Connectors: | CCS (Type 2) | Cost: | 21.9/kWh | Directions"
Unknown State,Bengaluru,86,.,"86 | . | MobiLane The Bay at Ecoworld | Outer Ring Road, Bellandur, Bengaluru, Karnataka 560103, Bengaluru, Karnataka | (Unknown Operator) | Fast DC | up to | 80 | kW | Connectors: | Unknown | Directions"
Unknown State,Bengaluru,87,.,"87 | . | RMZ Eco World | Adarsh Palm Retreat Tower 1, RMZ Ecoworld Road, Bellandur, Bengaluru, Karnataka, 560103 | Zeon Charging | Fast DC | up to | 50 | kW | Connectors: | CCS (Type 2) | Cost: | 21.90/kWh | Directions"
Unknown State,Bengaluru,88,.,"88 | . | Aloft Bengaluru Outer Ring Road | Cessna Business Park Sarjapur - Marathahalli Outer Ring Road, Kadubeesanahalli Post, Bellandur, Bengaluru, Karnataka , 560103 | Chargezone (India) | Fast DC | up to | 60 | kW | Connectors: | CCS (Type 2) | Cost: | 21/kWh | Directions"
