State,Petrol ₹/L,Diesel ₹/L,LPG ₹/cyl
Andhra Pradesh,₹116.62,₹104.33,₹966.50
Telangana,₹116.15,₹104.23,₹994.00
Kerala,₹114.80,₹103.64,₹951.00
Madhya Pradesh,₹114.64,₹99.74,₹947.50
West Bengal,₹113.48,₹99.82,₹968.00
Bihar,₹113.37,₹99.36,₹1031.50
Rajasthan,₹112.69,₹97.78,₹945.50
Dadra and Nagar Haveli and Daman and Diu,₹112.46,₹99.07,₹956.50
Maharashtra,₹111.18,₹97.83,₹941.50
Karnataka,₹111.11,₹99.01,₹944.50
Sikkim,₹110.60,₹97.55,₹1094.50
Chhatisgarh,₹109.09,₹102.34,₹1013.00
Ladakh,₹109.01,₹94.13,—
Odisha,₹108.97,₹100.68,₹968.00
Tamil Nadu,₹107.94,₹99.71,₹957.50
Lakshadweep,₹107.50,₹102.80,—
Manipur,₹107.35,₹93.01,₹1093.50
Jharkhand,₹107.09,₹102.15,₹999.50
Mizoram,₹106.55,₹95.17,₹1094.00
Nagaland,₹105.75,₹97.33,₹961.00
Assam,₹105.73,₹97.23,₹991.00
Punjab,₹105.09,₹95.02,₹983.00
Tripura,₹104.46,₹93.39,₹1102.50
Jammu & Kashmir,₹104.10,₹92.81,₹993.50
Goa,₹103.92,₹95.81,₹956.00
Pondicherry,₹103.58,₹93.79,₹954.00
Haryana,₹103.28,₹95.94,₹943.50
Chandigarh,₹103.14,₹95.78,₹951.50
Meghalaya,₹102.60,₹94.10,₹1009.00
Himachal Pradesh,₹102.28,₹94.27,₹987.50
Delhi,₹102.12,₹95.20,₹942.00
Gujarat,₹102.01,₹98.13,₹949.50
Uttar Pradesh,₹101.86,₹95.36,₹979.50
Uttarakhand,₹100.53,₹95.93,₹961.00
Arunachal Pradesh,₹97.70,₹87.11,₹1007.50
Andaman & Nicobar,₹88.66,₹84.56,₹1018.00
