State	FY20-21	FY21-22	FY22-23	FY23-24	FY24-25	FY25-26 (upto 01.03.26)		Total EVPCS installed in last five years	Total EVPCS operational
						Installed	Decommissioned		
Andaman & Nicobar	0	2	0	1	2	3		8	3
Andhra Pradesh	1	133	143	360	624	123		1384	1082
Arunachal Pradesh	2	6	23	19	6	0	1	55	46
Assam	7	39	119	186	173	2		526	461
Bihar	4	66	139	179	358	16		762	676
Chandigarh	6	4	4	1	4	5		24	23
Chhattisgarh	0	68	82	187	224	46		607	524
Delhi	35	37	58	100	344	79		653	542
Goa	8	19	6	22	14	18		87	59
Gujarat	11	146	334	343	574	80		1488	1118
Haryana	26	115	205	344	674	23		1387	1167
Himachal Pradesh	7	10	37	54	80	2		190	147
Jammu & Kashmir	0	22	65	53	95	0	15	220	140
Jharkand	4	44	73	91	196	19		427	324
Karnataka	36	153	542	478	1034	157		2400	2039
Kerala	19	67	154	265	415	56		976	776
Ladakh	0	2	0	0	14	8		24	23
Leh	0	0	0	0	5	0	5	0	0
Lakshwadeep	0	1	0	0	0	0		1	1
Madhya Pradesh	10	149	181	512	421	144		1417	1291
Maharashtra	9	129	465	517	957	166		2243	1786
Manipur	1	15	17	19	19	0		71	64
Meghalaya	1	7	19	14	38	1		80	44
Mizoram	0	0	2	11	16	1		30	15
Nagaland	2	4	8	22	17	0		53	44
Odisha	0	90	121	268	257	30		766	618
Pondicherry	0	4	7	16	27	4		58	24
Punjab	7	95	197	267	558	41		1165	908
Rajasthan	47	201	314	622	681	120		1985	1740
Sikkim	0	0	2	10	1	0		13	12
Tamil Nadu	21	187	257	702	1064	55		2286	1677
Telangana	24	98	155	380	730	137		1524	1173
Tripura	2	13	16	24	8	0		63	55
UT of D&NH and D&D	0	1	5	4	5	3		18	8
Uttar Pradesh	19	252	649	1159	1034	171		3284	2893
Uttarakhand	5	24	43	93	81	8		254	211
West Bengal	0	141	216	326	496	29		1208	1039
Total	314	2344	4658	7649	11246	1547	21	27,737	22,753
