State	Charging Infrastructure Subsidy
Andaman & Nicobar	
Andhra Pradesh	"DC chargers (>=100V): 25% capital subsidy of the charging station equipment/machinery for first 100 stations up to INR 10 lakhs
•DC chargers (<100V): 25% capital subsidy of the charging station equipment/machinery for first 300 charging stations up to INR 30,000
•Other: 25% capital subsidy of the fixed capital investment (for eligible assets excluding cost of battery inventory) up to INR 10 lakhs fo"
Arunachal Pradesh	
Assam	25% capital subsidy of the commercial public EV charging station equipment/machinery up to 10 lakhs for first 500 stations
Bihar	
Chandigarh	
Chhattisgarh	
Delhi	
Goa	
Gujarat	25% capital subsidy of the charging station equipment/machinery up to INR 10 lakhs for the first 250 commercial public EV charging stations
Haryana	
Himachal Pradesh	
Jammu & Kashmir	
Jharkand	
Karnataka	"General Investment promotion subsidy: (a) Micro - 25% value of fixed assets (VFA) – up to INR 15 lakh
(b) Small - 20% VFA – up to INR 40 lakh
(c) Medium – up to INR 50 lakh; Investment subsidy (charging infra equipment/ BS infra): 20% VFA - first 5 units
•DC chargers(>=100V)
25% - 100 stations - INR 10 lakh
•Other (a) BS stations(2W/3W)- 25% - first 100 stations – up to INR 3 lakh
(b) BS stations (cars) - 25% - first 50 stations – up to INR 5 lakh
(c) BS (buses) - first 50 stations – up to INR 10 lakh"
Kerala	"DC chargers (>=100V): 25% capital subsidy of the fixed capital investment up to INR 10 lakhs for the first 100 stations
•DC chargers (< 100V): 25% capital subsidy of the fixed capital investment up to INR 30,000 for the first 300 stations
•Other: 25% capital subsidy of fixed capital investment for up to INR 10 lakhs for the first 50 BS stations"
Ladakh	
Leh	
Lakshwadeep	
Madhya Pradesh	"Small: 25% capital subsidy of the charging equipment/machinery up to INR 1.5 lakhs for the first 300 stations
•Medium: 25% capital subsidy of the charging equipment/machinery up to INR 2 lakhs for the first 100 stations
•Large: 25% capital subsidy of the charging equipment/machinery up to INR 10 lakhs for the first 100 stations"
Maharashtra	"60% for the first 15,000 slow public and semi-public charging stations up to INR 10,000
•50% for the first 500 moderate and fast public and semi-public charging stations up to INR 5,00,000"
Manipur	_
Meghalaya	
Mizoram	
Nagaland	
Odisha	"Grant of INR 5000 for the first 20,000 private charging points
•25% capital subsidy to the selected energy operators for the first 500 charging stations"
Pondicherry	
Punjab	
Rajasthan	
Sikkim	
Tamil Nadu	_
Telangana	_
Tripura	
UT of D&NH and D&D	
Uttar Pradesh	25% capital subsidy on fixed capital investment up to 6 lakhs for the first 100 stations
Uttarakhand	_
West Bengal	_
