title,url,source
Why a cheap & simple 15A plug is just fine for home-charging your Electric Car,https://www.team-bhp.com/forum/electric-cars/250647-why-cheap-simple-15a-plug-just-fine-home-charging-your-electric-car.html,Team-BHP Electric Cars Forum
Guide & Pictures | Setting up an AC Fast Charger at home for your electric car,https://www.team-bhp.com/forum/electric-cars/264688-guide-pictures-setting-up-ac-fast-charger-home-your-electric-car.html,Team-BHP Electric Cars Forum
Electric Cars...through the eyes of a diehard petrol-head,https://www.team-bhp.com/forum/electric-cars/213629-electric-cars-through-eyes-diehard-petrol-head.html,Team-BHP Electric Cars Forum
"Tesla Cybertruck spotted in India, but dont get too excited",https://www.team-bhp.com/forum/electric-cars/293592-tesla-cybertruck-spotted-india-but-don-t-get-too-excited.html,Team-BHP Electric Cars Forum
Volvo EX30 Review,https://www.team-bhp.com/forum/electric-cars/298077-volvo-ex30-review.html,Team-BHP Electric Cars Forum
"2026 Kia Syros EV: Would you buy the base, mid or top variant?",https://www.team-bhp.com/forum/electric-cars/311825-2026-kia-syros-ev-would-you-buy-base-mid-top-variant.html,Team-BHP Electric Cars Forum
2026 Kia Syros EV Review,https://www.team-bhp.com/forum/electric-cars/310939-2026-kia-syros-ev-review.html,Team-BHP Electric Cars Forum
Mahindra XEV 9S Review,https://www.team-bhp.com/forum/electric-cars/302463-mahindra-xev-9s-review.html,Team-BHP Electric Cars Forum
Would you buy a 1+ crore EV?,https://www.team-bhp.com/forum/electric-cars/312005-would-you-buy-1-crore-ev.html,Team-BHP Electric Cars Forum
Alternative-powertrain cars outsell pure-petrol cars,https://www.team-bhp.com/forum/electric-cars/312106-alternative-powertrain-cars-outsell-pure-petrol-cars.html,Team-BHP Electric Cars Forum
"New Tata Harrier EV - Serious defects, safety issues and poor practices",https://www.team-bhp.com/forum/electric-cars/307212-new-tata-harrier-ev-serious-defects-safety-issues-poor-practices.html,Team-BHP Electric Cars Forum
Rumour: Vinfast India tells suppliers to halt activities for 3 planned cars,https://www.team-bhp.com/forum/electric-cars/311965-rumour-vinfast-india-tells-suppliers-halt-activities-3-planned-cars.html,Team-BHP Electric Cars Forum
2022 MG ZS EV Facelift Review,https://www.team-bhp.com/forum/electric-cars/250563-2022-mg-zs-ev-facelift-review.html,Team-BHP Electric Cars Forum
Citroen teases e-C3X for India,https://www.team-bhp.com/forum/electric-cars/309071-citroen-teases-e-c3x-india.html,Team-BHP Electric Cars Forum
Ahmedabad gets first Tesla-Approved Body Shop,https://www.team-bhp.com/forum/electric-cars/311957-ahmedabad-gets-first-tesla-approved-body-shop.html,Team-BHP Electric Cars Forum
Mahindra BE 6 Review,https://www.team-bhp.com/forum/electric-cars/288203-mahindra-6-review.html,Team-BHP Electric Cars Forum
Tesla Model Y L Premium variant launched at Rs 62 lakh | 6-seater EV with 681 km range,https://www.team-bhp.com/forum/electric-cars/307642-tesla-model-y-l-premium-variant-launched-rs-62-lakh-6-seater-ev-681-km-range.html,Team-BHP Electric Cars Forum
Review: The Tata Nexon EV,https://www.team-bhp.com/forum/electric-cars/224158-review-tata-nexon-ev.html,Team-BHP Electric Cars Forum
Hyundai to debut electric compact SUV by end-2026,https://www.team-bhp.com/forum/electric-cars/312018-hyundai-debut-electric-compact-suv-end-2026-a.html,Team-BHP Electric Cars Forum
2026 Tata Tiago.ev Review,https://www.team-bhp.com/forum/electric-cars/309227-2026-tata-tiago-ev-review.html,Team-BHP Electric Cars Forum
Hector Tomahawk EV launched at 19.49 - 23.49 lakhs,https://www.team-bhp.com/forum/electric-cars/310062-hector-tomahawk-ev-launched-19-49-23-49-lakhs.html,Team-BHP Electric Cars Forum
Volvo EX90 Review,https://www.team-bhp.com/forum/electric-cars/311937-volvo-ex90-review.html,Team-BHP Electric Cars Forum
Mahindra XEV 9S 6-seater trims launched at Rs 25.25 lakh,https://www.team-bhp.com/forum/electric-cars/311546-mahindra-xev-9s-6-seater-trims-launched-rs-25-25-lakh.html,Team-BHP Electric Cars Forum
Range Rover Electric revealed; bookings open in India,https://www.team-bhp.com/forum/electric-cars/311982-range-rover-electric-revealed-bookings-open-india.html,Team-BHP Electric Cars Forum
Tata Motors to have 10 EVs in its portfolio by 2025,https://www.team-bhp.com/forum/electric-cars/238446-tata-motors-have-10-evs-its-portfolio-2025-a.html,Team-BHP Electric Cars Forum
Mahindra XEV 9e Review,https://www.team-bhp.com/forum/electric-cars/288186-mahindra-xev-9e-review.html,Team-BHP Electric Cars Forum
Ordeal with my Tata Punch EV 2.0 Facelift (2026),https://www.team-bhp.com/forum/electric-cars/311602-ordeal-my-tata-punch-ev-2-0-facelift-2026-a.html,Team-BHP Electric Cars Forum
Maruti e-Vitara @ Bharat Mobility Global Expo 2025. EDIT: Launched at Rs 10.99 lakh (BaaS) - page 31,https://www.team-bhp.com/forum/electric-cars/290036-maruti-e-vitara-bharat-mobility-global-expo-2025-edit-launched-rs-10-99-lakh-baas-page-31-a.html,Team-BHP Electric Cars Forum
